Vehicle,MSRP,Dealer Cost,Engine Size,Number of Cylinders,Horsepower,MPG - City,MPG - Hwy,Weight,Wheelbase,Length,Width,Drive Wheels,Vehicle Type
Jaguar XKR coupe 2dr,81995,74676,4.2,8,390,16,23,3865,102,187,71,RWD,Sports Car
Jaguar XKR convertible 2dr,86995,79226,4.2,8,390,16,23,4042,102,187,71,RWD,Sports Car
Lexus SC 430 convertible 2dr,63200,55063,4.3,8,300,18,23,3840,103,178,72,RWD,Sports Car
Mazda MX-5 Miata convertible 2dr,22388,20701,1.8,4,142,23,28,2387,89,156,66,RWD,Sports Car
Mazda MX-5 Miata LS convertible 2dr,25193,23285,1.8,4,142,23,28,2387,89,156,66,RWD,Sports Car
Mazda RX-8 4dr automatic,25700,23794,1.3,-1,197,18,25,3053,106,174,,RWD,Sports Car
Mazda RX-8 4dr manual,27200,25179,1.3,-1,238,18,24,3029,106,174,,RWD,Sports Car
Mercedes-Benz SL500 convertible 2dr,90520,84325,5,8,302,16,23,4065,101,179,72,RWD,Sports Car
Mercedes-Benz SL55 AMG 2dr,121770,113388,5.5,8,493,14,21,4235,101,179,72,RWD,Sports Car
Mercedes-Benz SL600 convertible 2dr,126670,117854,5.5,12,493,13,19,4429,101,179,72,RWD,Sports Car
Mercedes-Benz SLK230 convertible 2dr,40320,37548,2.3,4,192,21,29,3055,95,158,68,RWD,Sports Car
Mercedes-Benz SLK32 AMG 2dr,56170,52289,3.2,6,349,17,22,3220,95,158,68,RWD,Sports Car
Mitsubishi Eclipse GTS 2dr,25092,23456,3,6,210,21,28,3241,101,177,69,FWD,Sports Car
Mitsubishi Eclipse Spyder GT convertible 2dr,26992,25218,3,6,210,21,28,3296,101,177,69,FWD,Sports Car
Mitsubishi Lancer Evolution 4dr,29562,27466,2,4,271,18,26,3263,103,179,70,FWD,Sports Car
Nissan 350Z coupe 2dr,26910,25203,3.5,6,287,20,26,3188,104,169,72,RWD,Sports Car
Nissan 350Z Enthusiast convertible 2dr,34390,31845,3.5,6,287,20,26,3428,104,169,72,RWD,Sports Car
Pontiac GTO 2dr,33500,30710,5.7,8,340,,,3725,110,190,73,RWD,Sports Car
Porsche 911 Carrera convertible 2dr (coupe),79165,69229,3.6,6,315,18,26,3135,93,175,70,RWD,Sports Car
Porsche 911 Carrera 4S coupe 2dr (convert),84165,72206,3.6,6,315,17,24,3240,93,175,72,AWD,Sports Car
Porsche 911 Targa coupe 2dr,76765,67128,3.6,6,315,18,26,3119,93,175,70,RWD,Sports Car
Porsche 911 GT2 2dr,192465,173560,3.6,6,477,17,24,3131,93,175,72,RWD,Sports Car
Porsche Boxster convertible 2dr,43365,37886,2.7,6,228,20,29,2811,95,170,70,RWD,Sports Car
Porsche Boxster S convertible 2dr,52365,45766,3.2,6,258,18,26,2911,95,170,70,RWD,Sports Car
Subaru Impreza WRX 4dr,25045,23022,2,4,227,20,27,3085,99,174,69,AWD,Sports Car
Subaru Impreza WRX STi 4dr,31545,29130,2.5,4,300,18,24,3263,100,174,69,AWD,Sports Car
Toyota Celica GT-S 2dr,22570,20363,1.8,4,180,24,33,2500,102,171,68,FWD,Sports Car
Toyota MR2 Spyder convertible 2dr,25130,22787,1.8,4,138,26,32,2195,97,153,67,RWD,Sports Car
Cadillac Escaladet,52795,48377,5.3,8,295,14,18,5367,116,199,79,FWD,SUV
Cadillac SRX V8,46995,43523,4.6,8,320,16,21,4302,116,195,73,FWD,SUV
Chevrolet Suburban 1500 LT,42735,37422,5.3,8,295,14,18,4947,130,219,79,FWD,SUV
Chevrolet Tahoe LT,41465,36287,5.3,8,295,14,18,5050,116,197,79,AWD,SUV
Dodge Durango SLT,32235,29472,4.7,8,230,15,21,4987,119,201,76,AWD,SUV
Ford Excursion 6.8 XLT,41475,36494,6.8,10,310,,,7190,137,227,80,AWD,SUV
Ford Expedition 4.6 XLT,34560,30468,4.6,8,232,15,19,5000,119,206,79,FWD,SUV
GMC Envoy XUV SLE,31890,28922,4.2,6,275,15,19,4945,129,208,75,FWD,SUV
CMC Yukon 1500 SLE,35725,31361,4.8,8,285,16,19,5042,116,199,79,FWD,SUV
GMC Yukon XL 2500 SLT,46265,40534,6,8,325,13,17,6133,130,219,79,AWD,SUV
Hummer H2,49995,45815,6,8,316,10,12,6400,123,190,81,AWD,SUV
Isuzu Ascender S,31849,29977,4.2,6,275,15,20,4967,129,208,76,AWD,SUV
Lincoln Navigator Luxury,52775,46360,5.4,8,300,13,18,5969,119,206,80,AWD,SUV
Nissan Pathfinder Armada SE,33840,30815,5.6,8,305,13,19,5013,123,207,79,FWD,SUV
Toyota Sequoia SR5,35695,31827,4.7,8,240,14,17,5270,118,204,78,AWD,SUV
Acura MDX,36945,33337,3.5,6,265,17,23,4451,106,189,77,AWD,SUV
BMW X3 3.0i,37000,33873,3,6,225,16,23,4023,110,180,73,AWD,SUV
BMW X5 4.4i,52195,47720,4.4,8,325,16,22,4824,111,184,74,AWD,SUV
Buick Rainier,37895,34357,4.2,6,275,15,21,4600,113,193,75,AWD,SUV
Buick Rendezvous CX,26545,24085,3.4,6,185,19,26,4024,112,187,74,FWD,SUV
Chevrolet TrailBlazer LT,30295,27479,4.2,6,275,16,21,4425,113,192,75,FWD,SUV
Ford Explorer XLT V6,29670,26983,4,6,210,15,20,4463,114,190,72,AWD,SUV
Honda Pilot LX,27560,24843,3.5,6,240,17,22,4387,106,188,77,AWD,SUV
Isuzu Rodeo S,20449,19261,3.2,6,193,17,21,3836,106,178,70,FWD,SUV
Jeep Grand Cherokee Laredo,27905,25686,4,6,195,16,21,3790,106,181,72,FWD,SUV
Kia Sorento LX,19635,18630,3.5,6,192,16,19,4112,107,180,73,FWD,SUV
Land Rover Range Rover HSE,72250,65807,4.4,8,282,12,16,5379,113,195,76,AWD,SUV
Lexus GX 470,45700,39838,4.7,8,235,15,19,4740,110,188,74,AWD,SUV
Lexus LX 470,64800,56455,4.7,8,235,13,17,5590,112,193,76,AWD,SUV
Lexus RX 330,39195,34576,3.3,6,230,18,24,4065,107,186,73,AWD,SUV
Lincoln Aviator Ultimate,42915,39443,4.6,8,302,13,18,4834,114,193,76,FWD,SUV
Mercedes-Benz G500,76870,71540,5,8,292,13,14,5423,112,186,71,AWD,SUV
Mercedes-Benz ML500,46470,43268,5,8,288,14,17,4874,111,183,72,AWD,SUV
Mercury Mountaineer,29995,27317,4,6,210,16,21,4374,114,190,72,FWD,SUV
Mitsubishi Endeavor XLS,30492,28330,3.8,6,215,17,21,4134,109,190,74,AWD,SUV
Mitsubishi Montero XLS,33112,30763,3.8,6,215,15,19,4718,110,190,75,AWD,SUV
Nissan Pathfinder SE,27339,25972,3.5,6,240,16,21,3871,106,183,72,FWD,SUV
Pontiac Aztekt,21595,19810,3.4,6,185,19,26,3779,108,182,74,FWD,SUV
Porsche Cayenne S,56665,49865,4.5,8,340,14,18,4950,112,188,76,AWD,SUV
Saturn VUE,20585,19238,2.2,4,143,21,26,3381,107,181,72,AWD,SUV
Suzuki XL-7 EX,23699,22307,2.7,6,185,18,22,3682,110,187,70,FWD,SUV
Toyota 4Runner SR5 V6,27710,24801,4,6,245,18,21,4035,110,189,74,FWD,SUV
Toyota Highlander V6,27930,24915,3.3,6,230,18,24,3935,107,185,72,AWD,SUV
Toyota Land Cruiser,54765,47986,4.7,8,325,13,17,5390,112,193,76,AWD,SUV
Volkswagen Touareg V6,35515,32243,3.2,6,220,15,20,5086,112,187,76,AWD,SUV
Volvo XC90 T6,41250,38851,2.9,6,268,15,20,4638,113,189,75,AWD,SUV
Chevrolet Tracker,20255,19108,2.5,6,165,19,22,2866,98,163,67,FWD,SUV
Ford Escape XLS,22515,20907,3,6,201,18,23,3346,103,173,70,AWD,SUV
Honda CR-V LX,19860,18419,2.4,4,160,21,25,3258,103,179,70,AWD,SUV
Honda Element LX,18690,17334,2.4,4,160,21,24,3468,101,167,72,AWD,SUV
Hyundai Santa Fe GLS,21589,20201,2.7,6,173,20,26,3549,103,177,73,FWD,SUV
Jeep Liberty Sport,20130,18973,2.4,4,150,20,24,3826,104,174,72,AWD,SUV
Jeep Wrangler Sahara convertible 2dr,25520,23275,4,6,190,16,19,3575,93,150,67,AWD,SUV
Land Rover Discovery SE,39250,35777,4.6,8,217,12,16,4576,100,185,74,AWD,SUV
Land Rover Freelander SE,25995,23969,2.5,6,174,18,21,3577,101,175,71,AWD,SUV
Mazda Tribute DX 2.0,21087,19742,2,4,130,22,25,3091,103,173,72,AWD,SUV
Mitsubishi Outlander LS,18892,17569,2.4,4,160,21,27,3240,103,179,69,FWD,SUV
Nissan Xterra XE V6,20939,19512,3.3,6,180,17,20,3760,104,178,70,FWD,SUV
Suzuki Vitara LX,17163,16949,2.5,6,165,19,22,3020,98,163,67,AWD,SUV
Toyota RAV4,20290,18553,2.4,4,161,22,27,3119,98,167,68,AWD,SUV
Audi A6 3.0 Avant Quattro,40840,37060,3,6,220,18,25,4035,109,192,71,AWD,Wagon
Audi S4 Avant Quattro,49090,44446,4.2,8,340,15,21,3936,104,179,70,AWD,Wagon
BMW 325xi Sport,32845,30110,2.5,6,184,19,26,3594,107,176,69,AWD,Wagon
Chevrolet Malibu Maxx LS,22225,20394,3.5,6,200,22,30,3458,112,188,70,FWD,Wagon
Chrysler Pacifica,31230,28725,3.5,6,250,17,23,4675,116,199,79,RWD,Wagon
Ford Focus ZTW,17475,16375,2,4,130,26,33,2702,103,178,67,FWD,Wagon
Ford Taurus SE,22290,20457,3,6,155,19,26,3497,109,198,73,FWD,Wagon
Infiniti FX35,34895,31756,3.5,6,280,16,22,4056,112,189,76,RWD,Wagon
Infiniti FX45,36395,33121,4.5,8,315,15,19,4309,112,189,76,AWD,Wagon
Kia Rio Cinco,11905,11410,1.6,4,104,26,33,2447,95,167,66,FWD,Wagon
Lexus IS 300 SportCross,32455,28647,3,6,215,18,24,3410,105,177,68,RWD,Wagon
Mercedes-Benz C240,33780,31466,2.6,6,168,19,25,3470,107,179,68,RWD,Wagon
Mercedes-Benz E320,50670,47174,3.2,6,221,19,27,3966,112,190,71,RWD,Wagon
Mercedes-Benz E500,60670,56474,5,8,302,16,24,4230,112,190,71,AWD,Wagon
Mercury Sable GS,22595,20748,3,6,155,19,26,3488,109,198,73,FWD,Wagon
Mitsubishi Lancer Sportback LS,17495,16295,2.4,4,160,,,3020,102,181,67,FWD,Wagon
Nissan Murano SL,28739,27300,3.5,6,245,20,25,3801,111,188,74,RWD,Wagon
Pontiac Vibe,17045,15973,1.8,4,130,29,36,2701,102,172,70,RWD,Wagon
Saab 9-5 Aero,40845,38376,2.3,4,250,19,29,3620,106,190,71,FWD,Wagon
Saturn L300 2,23560,21779,2.2,4,140,24,34,3109,107,190,69,FWD,Wagon
Scion xB,14165,13480,1.5,4,108,31,35,2425,98,155,67,FWD,Wagon
Subaru Forester X,21445,19646,2.5,4,165,21,28,3090,99,175,68,AWD,Wagon
Subaru Outback,23895,21773,2.5,4,165,21,28,3430,104,187,69,AWD,Wagon
Suzuki Aerio SX,16497,16291,2.3,4,155,24,29,2932,98,167,68,AWD,Wagon
Toyota Matrix XR,16695,15156,1.8,4,130,29,36,2679,102,171,70,FWD,Wagon
Volkswagen Jetta GL,19005,17427,2,4,115,24,30,3034,99,174,68,FWD,Wagon
Volkswagen Passat GLS 1.8T,24955,22801,1.8,4,170,22,31,3338,106,184,69,FWD,Wagon
Volkswagen Passat W8,40235,36956,4,8,270,18,25,4067,106,184,69,FWD,Wagon
Volvo V40,26135,24641,1.9,4,170,22,29,2822,101,180,68,FWD,Wagon
Volvo XC70,35145,33112,2.5,5,208,20,27,3823,109,186,73,AWD,Wagon
Chevrolet Astro,26395,23954,4.3,6,190,14,17,4605,111,190,78,AWD,Minivan
Chevrolet Venture LS,27020,24518,3.4,6,185,19,26,3699,112,187,72,FWD,Minivan
Chrysler Town and Country LX,27490,25371,3.3,6,180,19,26,4068,119,201,79,FWD,Minivan
Chrysler Town and Country Limited,38380,35063,3.8,6,215,18,25,4331,119,201,79,FWD,Minivan
Dodge Caravan SE,21795,20508,2.4,4,150,20,26,3862,113,189,79,FWD,Minivan
Dodge Grand Caravan SXT,32660,29812,3.8,6,215,18,25,4440,119,201,79,AWD,Minivan
Ford Freestar SE,26930,24498,3.9,6,193,17,23,4275,121,201,77,FWD,Minivan
GMC Safari SLE,25640,23215,4.3,6,190,16,20,4309,111,190,78,RWD,Minivan
Honda Odyssey LX,24950,22498,3.5,6,240,18,25,4310,118,201,76,FWD,Minivan
Honda Odyssey EX,27450,24744,3.5,6,240,18,25,4365,118,201,76,FWD,Minivan
Kia Sedona LX,20615,19400,3.5,6,195,16,22,4802,115,194,75,FWD,Minivan
Mazda MPV ES,28750,26600,3,6,200,18,25,3812,112,188,72,FWD,Minivan
Mercury Monterey Luxury,33995,30846,4.2,6,201,16,23,4340,121,202,77,FWD,Minivan
Nissan Quest S,24780,22958,3.5,6,240,19,26,4012,124,204,78,FWD,Minivan
Nissan Quest SE,32780,30019,3.5,6,240,18,25,4175,124,204,78,FWD,Minivan
Oldsmobile Silhouette GL,28790,26120,3.4,6,185,19,26,3948,120,201,72,FWD,Minivan
Pontiac Montana,23845,21644,3.4,6,185,19,26,3803,112,187,72,FWD,Minivan
Pontiac Montana EWB,31370,28454,3.4,6,185,18,24,4431,121,201,72,AWD,Minivan
Toyota Sienna CE,23495,21198,3.3,6,230,19,27,4120,119,200,77,FWD,Minivan
Toyota Sienna XLE Limited,28800,25690,3.3,6,230,19,27,4165,119,200,77,FWD,Minivan
Cadillac Escalade EXT,52975,48541,6,8,345,13,17,5879,130,221,80,AWD,Pickup
Chevrolet Avalanche 1500,36100,31689,5.3,8,295,14,18,5678,130,222,80,AWD,Pickup
Chevrolet Colorado Z85,18760,17070,2.8,4,175,18,23,3623,111,193,68,AWD,Pickup
Chevrolet Silverado 1500 Regular Cab,20310,18480,4.3,6,200,15,21,4142,119,228,79,RWD,Pickup
Chevrolet Silverado SS,40340,35399,6,8,300,13,17,4804,144,,,AWD,Pickup
Chevrolet SSR,41995,39306,5.3,8,300,16,19,4760,116,191,79,RWD,Pickup
Dodge Dakota Regular Cab,17630,16264,3.7,6,210,16,22,3714,112,215,72,RWD,Pickup
Dodge Dakota Club Cab,20300,18670,3.7,6,210,16,22,3829,131,,,RWD,Pickup
Dodge Ram 1500 Regular Cab ST,20215,18076,3.7,6,215,16,21,4542,121,228,80,RWD,Pickup
Ford F-150 Regular Cab XL,22010,19490,4.6,8,231,15,19,4788,126,211,79,RWD,Pickup
Ford F-150 Supercab Lariat,33540,29405,5.4,8,300,14,18,5464,133,224,79,AWD,Pickup
Ford Ranger 2.3 XL Regular Cab,14385,13717,2.3,4,143,24,29,3028,111,188,69,RWD,Pickup
GMC Canyon Z85 SL Regular Cab,16530,14877,2.8,4,175,19,24,3351,111,193,68,RWD,Pickup
GMC Sierra Extended Cab 1500,25717,22604,4.8,8,285,17,20,4548,144,,,RWD,Pickup
GMC Sierra HD 2500,29322,25759,6,8,300,,,5440,133,237,80,AWD,Pickup
GMC Sonoma Crew Cab,25395,23043,4.3,6,190,15,19,4083,123,205,68,AWD,Pickup
Mazda B2300 SX Regular Cab,14840,14070,2.3,4,143,24,29,2960,112,188,69,RWD,Pickup
Mazda B4000 SE Cab Plus,22350,20482,4,6,207,15,19,3571,126,203,70,AWD,Pickup
Nissan Frontier King Cab XE V6,19479,18253,3.3,6,180,17,20,3932,116,,,AWD,Pickup
Nissan Titan King Cab XE,26650,24926,5.6,8,305,14,18,5287,140,224,79,AWD,Pickup
Subaru Baja,24520,22304,2.5,4,165,21,28,3485,104,193,70,AWD,Pickup
Toyota Tacoma,12800,11879,2.4,4,142,22,27,2750,103,179,67,RWD,Pickup
Toyota Tundra Regular Cab V6,16495,14978,3.4,6,190,16,20,3925,128,,,RWD,Pickup
Toyota Tundra Access Cab V6 SR5,25935,23520,3.4,6,190,14,17,4435,128,218,75,AWD,Pickup
